internalId	Name	Mentions
bacteria-5563	veillonellaceae	13
bacteria-7479	achromobacter xylosoxidans	12
bacteria-2245	adlercreutzia	12
bacteria-2600	bordetella pertussis	12
bacteria-4263	christensenellaceae	12
bacteria-11577	desulfovibrionaceae	12
bacteria-7507	erwinia	12
bacteria-6568	flavobacterium	12
bacteria-1166	lachnospira	12
bacteria-11175	lactobacillus johnsonii	12
bacteria-4982	moraxella catarrhalis	12
bacteria-8692	neisseria meningitidis	12
bacteria-8633	oribacterium	12
bacteria-5104	parabacteroides distasonis	12
bacteria-3553	pasteurellaceae	12
bacteria-4667	peptostreptococcus stomatis	12
bacteria-5119	solobacterium	12
bacteria-11354	streptococcus thermophilus	12
bacteria-1840	allobaculum	11
bacteria-216	betaproteobacteria	11
bacteria-1019	butyricimonas	11
bacteria-2481	clostridium leptum	11
bacteria-11613	clostridium scindens	11
bacteria-1912	corynebacterium diphtheriae	11
bacteria-1663	eggerthella lenta	11
bacteria-3482	eikenella corrodens	11
bacteria-8074	filifactor	11
bacteria-6436	morganella	11
bacteria-8187	ochrobactrum	11
bacteria-10285	peptostreptococcaceae	11
bacteria-12130	pseudomonas fluorescens	11
bacteria-9452	pseudomonas putida	11
bacteria-444	romboutsia	11
bacteria-5428	spirochaetes	11
bacteria-8669	staphylococcus haemolyticus	11
bacteria-2501	staphylococcus hominis	11
bacteria-5407	streptococcus viridans	11
bacteria-5466	alphaproteobacteria	10
bacteria-1366	catenibacterium	10
bacteria-7286	clostridium novyi	10
bacteria-4040	corynebacterium jeikeium	10
bacteria-2476	gemella morbillorum	10
bacteria-7980	gut metagenome	10
bacteria-10402	lactobacillus salivarius	10
bacteria-7457	megamonas	10
bacteria-10944	mycobacterium fortuitum	10
bacteria-11574	pantoea agglomerans	10
bacteria-8177	rhizobium	10
bacteria-5735	sarcina	10
bacteria-2523	spirulina	10
bacteria-11862	streptococcus intermedius	10
bacteria-56	thermophilic	10
bacteria-2158	ureaplasma parvum	10
bacteria-1251	veillonella parvula	10
bacteria-11145	weissella	10
bacteria-1843	xanthomonas	10
bacteria-12596	anaerostipes	9
bacteria-6668	bacillus licheniformis	9
bacteria-7022	brassica	9
bacteria-8661	campylobacter fetus	9
bacteria-4567	comamonas	9
bacteria-8755	finegoldia	9
bacteria-12593	gemmiger	9
bacteria-5753	granulicatella adiacens	9
bacteria-12767	helicobacter cinaedi	9
bacteria-7556	lactobacillus delbrueckii	9
bacteria-9774	lautropia	9
bacteria-1966	microbacterium	9
bacteria-3198	mogibacterium	9
bacteria-2143	parasutterella	9
bacteria-9576	peptoniphilus	9
bacteria-9185	peptostreptococcus anaerobius	9
bacteria-345	raoultella	9
bacteria-632	rhodococcus equi	9
bacteria-6749	roseomonas	9
bacteria-8754	staphylococcus lugdunensis	9
bacteria-1416	streptococcus infantarius	9
bacteria-1830	streptococcus oralis	9
bacteria-3590	streptococcus sanguinis	9
bacteria-7785	abiotrophia	8
bacteria-3171	actinomadura	8
bacteria-807	anaerotruncus	8
bacteria-12831	bacillus pumilus	8
bacteria-10219	bacteroides ovatus	8
bacteria-1589	butyrivibrio	8
bacteria-9905	chloroflexi	8
bacteria-9500	chromobacterium	8
bacteria-6284	cutibacterium acnes	8
bacteria-199	delftia	8
bacteria-5499	enterobacter aerogenes	8
bacteria-724	enterococcus hirae	8
bacteria-8447	francisella	8
bacteria-12016	lactobacillus brevis	8
bacteria-8772	lactobacillus murinus	8
bacteria-4386	methylobacterium	8
bacteria-7634	mobiluncus	8
bacteria-8546	morganella morganii	8
bacteria-5961	nocardia farcinica	8
bacteria-7620	streptococcus gordonii	8
bacteria-1475	yersinia pseudotuberculosis	8
bacteria-11535	acidobacteria	7
bacteria-4953	actinomyces naeslundii	7
bacteria-5598	alistipes finegoldii	7
bacteria-4701	bacteriodetes	7
bacteria-6804	bacteroidia	7
bacteria-873	brucella melitensis	7
bacteria-9751	chlamydiae	7
bacteria-11626	chryseobacterium	7
bacteria-11473	enterobacterales	7
bacteria-806	erysipelatoclostridium	7
bacteria-3074	eubacterium rectale	7
bacteria-2472	fusobacterium necrophorum	7
bacteria-2583	lactobacillus helveticus	7
bacteria-7729	mitsuokella	7
bacteria-8663	mycobacterium kansasii	7
bacteria-2451	nocardia asteroides	7
bacteria-5727	ochrobactrum anthropi	7
bacteria-9319	paenibacillus	7
bacteria-9327	planctomycetes	7
bacteria-9415	providencia	7
bacteria-1507	roseomonas gilardii	7
bacteria-11617	ruminiclostridium	7
bacteria-6633	ruminococcus bromii	7
bacteria-10451	sequence has	7
bacteria-9513	acidaminococcus	6
bacteria-11860	acidovorax	6
bacteria-1065	acinetobacter calcoaceticus	6
bacteria-1777	actinomyces israelii	6
bacteria-111	anaplasma	6
bacteria-6392	bacillus megaterium	6
bacteria-6292	bacteroides acidifaciens	6
bacteria-8446	bacteroides dorei	6
bacteria-11933	bacteroides plebeius	6
bacteria-5791	barnesiella intestinihominis	6
bacteria-3513	bitter	6
bacteria-7126	burkholderiales	6
bacteria-4497	campylobacter concisus	6
bacteria-265	chromobacterium violaceum	6
bacteria-1874	collinsella aerofaciens	6
bacteria-9649	cowpea	6
bacteria-8913	cupriavidus	6
bacteria-8957	cyanobacterium	6
bacteria-5226	deinococcus	6
bacteria-2908	eubacteriaceae	6
bacteria-9228	flavonifractor plautii	6
bacteria-5028	fusicatenibacter	6
bacteria-4043	gemmatimonadetes	6
bacteria-1006	halomonas	6
bacteria-9314	herbaspirillum	6
bacteria-10447	intestinimonas	6
bacteria-10339	kingella	6
bacteria-3604	leclercia	6
bacteria-8047	polymorphum	6
bacteria-2537	pseudoalteromonas	6
bacteria-9229	salmonella paratyphi	6
bacteria-1461	shewanella putrefaciens	6
bacteria-7044	shigella dysenteriae	6
bacteria-6965	shuttleworthia	6
bacteria-6346	solobacterium moorei	6
bacteria-12367	synergistetes	6
bacteria-10827	treponema pallidum	6
bacteria-5178	tsukamurella	6
bacteria-9957	verrucomicrobiaceae	6
bacteria-7701	wolbachia	6
bacteria-7014	acetobacter	5
bacteria-6071	acinetobacter junii	5
bacteria-8483	acinetobacter lwoffii	5
bacteria-8135	actinobacillus actinomycetemcomitans	5
bacteria-10748	aeromonas caviae	5
bacteria-11972	akkermansiaceae	5
bacteria-12814	alcaligenaceae	5
bacteria-3092	alistipes putredinis	5
bacteria-3185	anaplasma phagocytophilum	5
bacteria-9672	arthrobacter	5
bacteria-3162	bifidobacterium pseudolongum	5
bacteria-8040	bilophila wadsworthia	5
bacteria-5421	blautia producta	5
bacteria-9544	bordetella bronchiseptica	5
bacteria-6115	brevibacterium	5
bacteria-4848	bulleidia	5
bacteria-4802	campylobacter rectus	5
bacteria-2635	clostridium paraputrificum	5
bacteria-3471	comamonadaceae	5
bacteria-2545	corynebacterium amycolatum	5
bacteria-5314	ehrlichia	5
bacteria-4485	eubacterium limosum	5
bacteria-2463	euphorbia	5
bacteria-7526	fusobacterium varium	5
bacteria-9641	kocuria	5
bacteria-5083	leptospira	5
bacteria-11801	magnetospirillum	5
bacteria-5547	malaysian	5
bacteria-4562	nicotiana	5
bacteria-3750	oceanobacillus	5
bacteria-2516	odoribacter splanchnicus	5
bacteria-10145	paracoccus	5
bacteria-11304	pediococcus pentosaceus	5
bacteria-9685	phoenix	5
bacteria-1233	plesiomonas	5
bacteria-3671	prevotella bivia	5
bacteria-3153	pseudomonadales	5
bacteria-10576	rahnella	5
bacteria-8748	sesame	5
bacteria-12433	shewanella algae	5
bacteria-3003	streptococcus constellatus	5
bacteria-8472	streptococcus suis	5
bacteria-10595	streptomyces albus	5
bacteria-11982	tanzanian	5
bacteria-4250	vibrio vulnificus	5
bacteria-525	actinomyces viscosus	4
bacteria-11323	anoxybacillus	4
bacteria-6411	arcobacter	4
bacteria-11995	bacillaceae	4
bacteria-24	bacillus coagulans	4
bacteria-1086	bacillus thuringiensis	4
bacteria-9659	blautia obeum	4
bacteria-9360	bradyrhizobium	4
bacteria-3458	campylobacter sputorum	4
bacteria-7939	capnocytophaga sputigena	4
bacteria-6271	capsicum	4
bacteria-7414	cardiobacterium	4
bacteria-4285	carnobacterium	4
bacteria-661	christensenella	4
bacteria-4034	clostridiales family	4
bacteria-7750	clostridium sporogenes	4
bacteria-31	clostridium symbiosum	4
bacteria-3815	coprobacillus	4
bacteria-2914	cronobacter	4
bacteria-7155	datura	4
bacteria-2049	desulfovibrio piger	4
bacteria-5518	edwardsiella	4
bacteria-3938	enterococcus casseliflavus	4
bacteria-10118	enterococcus gallinarum	4
bacteria-9806	erwinia chrysanthemi	4
bacteria-11509	filifactor alocis	4
bacteria-9114	finegoldia magna	4
bacteria-5951	francisella tularensis	4
bacteria-1209	geobacillus	4
bacteria-7305	gynostemma	4
bacteria-4904	gynostemma pentaphyllum	4
bacteria-255	hafnia	4
bacteria-1197	hafnia alvei	4
bacteria-12024	lautropia mirabilis	4
bacteria-4268	leclercia adecarboxylata	4
bacteria-9579	lysobacter	4
bacteria-11126	marine bacterium	4
bacteria-2438	mycobacterium abscessus	4
bacteria-8556	mycobacterium intracellulare	4
bacteria-2167	neisseriaceae	4
bacteria-11147	nocardia cyriacigeorgica	4
bacteria-9854	olsenella	4
bacteria-3258	oxalobacter	4
bacteria-3700	propionibacterium freudenreichii	4
bacteria-7958	pseudomonas stutzeri	4
bacteria-6717	ralstonia pickettii	4
bacteria-4937	raoultella ornithinolytica	4
bacteria-3216	roseomonas mucosa	4
bacteria-8630	rothia dentocariosa	4
bacteria-11293	ruminococcus torques	4
bacteria-4921	shigella sonnei	4
bacteria-4686	solanum	4
bacteria-6371	sorangium	4
bacteria-9785	spiroplasma	4
bacteria-6469	staphylococcus pseudintermedius	4
bacteria-3994	staphylococcus saprophyticus	4
bacteria-6010	staphylococcus warneri	4
bacteria-4680	streptococcus parasanguinis	4
bacteria-8203	streptomyces galilaeus	4
bacteria-11986	streptomyces griseus	4
bacteria-9913	streptosporangium	4
bacteria-7915	vibrio parahaemolyticus	4
bacteria-178	vitis	4
bacteria-3692	acacia	3
bacteria-268	acinetobacter johnsonii	3
bacteria-6247	aggregatibacter segnis	3
bacteria-596	alistipes shahii	3
bacteria-11753	alkaliphilus	3
bacteria-11140	almond	3
bacteria-5298	amycolatopsis	3
bacteria-3019	arcanobacterium	3
bacteria-3932	artemisia	3
bacteria-4691	azotobacter	3
bacteria-2054	bacillus amyloliquefaciens	3
bacteria-6429	bacteroides caccae	3
bacteria-12810	bacteroides xylanisolvens	3
bacteria-3069	bartonella quintana	3
bacteria-10879	bartonella vinsonii	3
bacteria-1260	bergeyella	3
bacteria-5078	brevibacillus	3
bacteria-9345	burkholderia pseudomallei	3
bacteria-3744	burkholderiaceae	3
bacteria-799	campylobacter coli	3
bacteria-4389	candidatus arthromitus	3
bacteria-2301	candidatus mycoplasma	3
bacteria-6665	candidatus saccharibacteria	3
bacteria-8684	capnocytophaga gingivalis	3
bacteria-1909	capnocytophaga ochracea	3
bacteria-10092	carnobacteriaceae	3
bacteria-9195	catabacter	3
bacteria-6555	cedecea	3
bacteria-7185	chickpea	3
bacteria-466	clostridium botulinum	3
bacteria-10271	clostridium hiranonis	3
bacteria-4669	clostridium hylemonae	3
bacteria-463	clostridium tetani	3
bacteria-12562	corynebacterium simulans	3
bacteria-5719	corynebacterium xerosis	3
bacteria-3345	croton	3
bacteria-194	deinococcus radiodurans	3
bacteria-3637	deltaproteobacteria	3
bacteria-7124	desulfovibrio desulfuricans	3
bacteria-2755	desulfovibrio vulgaris	3
bacteria-224	devosia	3
bacteria-850	dialister invisus	3
bacteria-7739	dietzia	3
bacteria-2220	edwardsiella tarda	3
bacteria-8195	elizabethkingia	3
bacteria-11238	endosymbiont	3
bacteria-9947	epsilonproteobacteria	3
bacteria-9765	eubacterium siraeum	3
bacteria-7543	facklamia	3
bacteria-9171	gemella haemolysans	3
bacteria-9230	gordonibacter	3
bacteria-8095	haemophilus ducreyi	3
bacteria-10732	halomonadaceae	3
bacteria-9698	janthinobacterium	3
bacteria-12158	kitasatospora	3
bacteria-11305	klebsiella michiganensis	3
bacteria-2285	lachnoanaerobaculum	3
bacteria-7758	lactobacillus vaginalis	3
bacteria-8555	lentisphaerae	3
bacteria-7825	leuconostoc lactis	3
bacteria-6679	leuconostocaceae	3
bacteria-6094	lyngbya	3
bacteria-7679	magnetococcus	3
bacteria-1123	magnetospirillum gryphiswaldense	3
bacteria-10197	moraxella nonliquefaciens	3
bacteria-6946	moraxella osloensis	3
bacteria-7972	moraxellaceae	3
bacteria-436	mycobacterium gordonae	3
bacteria-7968	mycobacterium marinum	3
bacteria-8597	neisseria flavescens	3
bacteria-1196	neisseria mucosa	3
bacteria-9898	neisseria subflava	3
bacteria-4366	nitrospirae	3
bacteria-7275	nocardia brasiliensis	3
bacteria-1004	nocardiopsis	3
bacteria-5994	nostoc	3
bacteria-1154	oxalobacter formigenes	3
bacteria-6881	patescibacteria	3
bacteria-8468	pediococcus acidilactici	3
bacteria-4060	photobacterium	3
bacteria-332	phyllanthus	3
bacteria-4977	plesiomonas shigelloides	3
bacteria-5779	porphyromonas asaccharolytica	3
bacteria-3864	prevotella buccae	3
bacteria-12192	prevotella nigrescens	3
bacteria-7690	propionibacteriaceae	3
bacteria-10892	prunus	3
bacteria-5155	pseudomonadaceae	3
bacteria-3306	pyramidobacter	3
bacteria-12154	rahnella aquatilis	3
bacteria-8066	raoultella planticola	3
bacteria-7079	rhodobacter	3
bacteria-5509	rhodobacteraceae	3
bacteria-7571	roseburia faecis	3
bacteria-2034	saccharothrix	3
bacteria-1093	selenomonas sputigena	3
bacteria-7435	serratia fonticola	3
bacteria-1207	sphingobium	3
bacteria-8792	sphingomonadaceae	3
bacteria-1373	sphingomonas paucimobilis	3
bacteria-9533	strawberry	3
bacteria-9766	streptobacillus	3
bacteria-10108	streptomyces albulus	3
bacteria-8721	streptomyces aureofaciens	3
bacteria-4785	streptomyces chartreusis	3
bacteria-2904	streptomyces coelicolor	3
bacteria-11977	tepidimonas	3
bacteria-7455	thermus	3
bacteria-1687	tls	3
bacteria-10976	vagococcus	3
bacteria-611	veillonella dispar	3
bacteria-12379	vibrio anguillarum	3
bacteria-4198	vibrio fischeri	3
bacteria-5131	vitex	3
bacteria-12617	weissella confusa	3
bacteria-7338	acholeplasma	2
bacteria-3444	acidithiobacillus	2
bacteria-12195	acidithiobacillus ferrooxidans	2
bacteria-6031	acinetobacter radioresistens	2
bacteria-9614	acinetobacter ursingii	2
bacteria-8137	actinomadura verrucosospora	2
bacteria-9784	actinomycetaceae	2
bacteria-6729	adlercreutzia equolifaciens	2
bacteria-7728	aerococcaceae	2
bacteria-4955	aeromonas veronii	2
bacteria-7614	albizia	2
bacteria-982	archangium	2
bacteria-11179	atopobium parvulum	2
bacteria-1124	azadirachta	2
bacteria-5486	azadirachta indica	2
bacteria-3935	bacillus tequilensis	2
bacteria-5573	bacteroides eggerthii	2
bacteria-9000	bacteroides intestinalis	2
bacteria-10231	bacteroides pyogenes	2
bacteria-5611	bartonella bacilliformis	2
bacteria-4470	bidens	2
bacteria-6413	bifidobacterium dentium	2
bacteria-2109	borrelia miyamotoi	2
