Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Atopobium sp. oral taxon 199	LISTA 1			anaerobiospirillum	Lista 2	No esta en lista			bovine parvovirus	lista 3	No esta en lista
Atopobium sp. oral taxon 810	LISTA 1			anaerococcus	Lista 2	No esta en lista			bovine polyomavirus	lista 3	No esta en lista
Avian coronavirus	LISTA 1			anaerofustis	Lista 2	No esta en lista			bovine respiratory syncytial	lista 3	No esta en lista
Azohydromonas australica	LISTA 1			anaerolineae	Lista 2	No esta en lista			bovine rotavirus	lista 3	No esta en lista
Azohydromonas lata	LISTA 1			anaerosphaera	Lista 2	No esta en lista			brassica napus	lista 3	No esta en lista
Baboon endogenous virus	LISTA 1			anaerostipes	Lista 2	No esta en lista			brome mosaic	lista 3	No esta en lista
Bacillus aidingensis	LISTA 1			anaerotruncus	Lista 2	No esta en lista			broome	lista 3	No esta en lista
Bacillus altitudinis	LISTA 1			anaplasma	Lista 2	No esta en lista			bruce	lista 3	No esta en lista
Bacillus amyloliquefaciens	LISTA 1			anaplasma phagocytophilum	Lista 2	No esta en lista			budgerigar fledgling disease	lista 3	No esta en lista
Bacillus anthracis	LISTA 1			anoxybacillus	Lista 2	No esta en lista			bunyamwera	lista 3	No esta en lista
Bacillus atrophaeus	LISTA 1			aquabacterium	Lista 2	No esta en lista			bunyavirales	lista 3	No esta en lista
Bacillus atticus	LISTA 1			arachis	Lista 2	No esta en lista			burkholderia	lista 3	No esta en lista
Bacillus badius	LISTA 1			arachis hypogaea	Lista 2	No esta en lista			burkholderia pseudomallei	lista 3	No esta en lista
Bacillus bombysepticus	LISTA 1			arachnia	Lista 2	No esta en lista			butyrivibrio	lista 3	No esta en lista
Bacillus cereus	LISTA 1			arachnia propionica	Lista 2	No esta en lista			cache valley	lista 3	No esta en lista
Bacillus coahuilensis	LISTA 1			arcanobacterium	Lista 2	No esta en lista			cactus	lista 3	No esta en lista
Bacillus cytotoxicus	LISTA 1			arcanobacterium haemolyticum	Lista 2	No esta en lista			caliciviridae	lista 3	No esta en lista
Bacillus grandii	LISTA 1			archangium	Lista 2	No esta en lista			calicivirus	lista 3	No esta en lista
Bacillus inaquosorum	LISTA 1			archangium gephyra	Lista 2	No esta en lista			camelpox	lista 3	No esta en lista
Bacillus infantis	LISTA 1			arcobacter	Lista 2	No esta en lista			camelus dromedarius papillomavirus	lista 3	No esta en lista
Bacillus licheniformis	LISTA 1			argyranthemum	Lista 2	No esta en lista			campylobacter	lista 3	No esta en lista
Bacillus massilioanorexius	LISTA 1			armatimonadetes	Lista 2	No esta en lista			candidatus	lista 3	No esta en lista
Bacillus methanolicus	LISTA 1			arsenophonus	Lista 2	No esta en lista			canine adenovirus	lista 3	No esta en lista
Bacillus mojavensis	LISTA 1			artemisia	Lista 2	No esta en lista			canine coronavirus	lista 3	No esta en lista
Bacillus mycoides	LISTA 1			arthrobacter	Lista 2	No esta en lista			canine distemper	lista 3	No esta en lista
Bacillus paralicheniformis	LISTA 1			arthrospira	Lista 2	No esta en lista			canine herpesvirus	lista 3	No esta en lista
Bacillus pseudomycoides	LISTA 1			arthrospira platensis	Lista 2	No esta en lista			canine kobuvirus	lista 3	No esta en lista
Bacillus pumilus	LISTA 1			asaccharobacter	Lista 2	No esta en lista			canine oral papillomavirus	lista 3	No esta en lista
Bacillus rossius	LISTA 1			asaia	Lista 2	No esta en lista			canine papillomavirus	lista 3	No esta en lista
Bacillus safensis	LISTA 1			atopobium	Lista 2	No esta en lista			canine parainfluenza	lista 3	No esta en lista
Bacillus siamensis	LISTA 1			atopobium parvulum	Lista 2	No esta en lista			canine parvovirus	lista 3	No esta en lista
Bacillus smithii	LISTA 1			atopobium rimae	Lista 2	No esta en lista			caprine arthritis encephalitis	lista 3	No esta en lista
Bacillus sonorensis	LISTA 1			aurantimonas	Lista 2	No esta en lista			cas	lista 3	No esta en lista
Bacillus spizizenii	LISTA 1			aureimonas	Lista 2	No esta en lista			catarina	lista 3	No esta en lista
Bacillus stratosphericus	LISTA 1			aureimonas altamirensis	Lista 2	No esta en lista			caudovirales	lista 3	No esta en lista
Bacillus subtilis	LISTA 1			azadirachta	Lista 2	No esta en lista	planta		chelonid alphaherpesvirus 5	lista 3	No esta en lista
Bacillus tequilensis	LISTA 1			azadirachta indica	Lista 2	No esta en lista	planta		chelonid herpesvirus 5	lista 3	No esta en lista
Bacillus thuringiensis	LISTA 1			azotobacter	Lista 2	No esta en lista			chicken	lista 3	No esta en lista
Bacillus toyonensis	LISTA 1			azotobacter chroococcum	Lista 2	No esta en lista			chicken anemia	lista 3	No esta en lista
Bacillus vallismortis	LISTA 1			azotobacter vinelandii	Lista 2	No esta en lista			chikungunya	lista 3	No esta en lista
Bacillus velezensis	LISTA 1			bacillaceae	Lista 2	No esta en lista			chinook aquareovirus	lista 3	No esta en lista
Bacillus wiedmannii	LISTA 1			bacilli	Lista 2	No esta en lista			chlorella	lista 3	No esta en lista
Bacteroides acidifaciens	LISTA 1			bacillus	Lista 2	No esta en lista			christensen	lista 3	No esta en lista
Bacteroides caccae	LISTA 1			bacillus amyloliquefaciens	Lista 2	LISTA 1			circoviridae	lista 3	No esta en lista
Bacteroides cellulosilyticus	LISTA 1			bacillus anthracis	Lista 2	LISTA 1			circovirus	lista 3	No esta en lista
Bacteroides clarus	LISTA 1			bacillus cereus	Lista 2	LISTA 1			citrobacter	lista 3	No esta en lista
Bacteroides coprosuis	LISTA 1			bacillus circulans	Lista 2	No esta en lista			citrus	lista 3	No esta en lista
Bacteroides eggerthii	LISTA 1			bacillus coagulans	Lista 2	No esta en lista			cladosporium cladosporioides	lista 3	No esta en lista
Bacteroides faecichinchillae	LISTA 1			bacillus flexus	Lista 2	No esta en lista			clostridioides difficile	lista 3	No esta en lista
Bacteroides faecis	LISTA 1			bacillus glycinifermentans	Lista 2	No esta en lista			coat	lista 3	No esta en lista
Bacteroides finegoldii	LISTA 1			bacillus indicus	Lista 2	No esta en lista			cocal	lista 3	No esta en lista
Bacteroides fluxus	LISTA 1			bacillus licheniformis	Lista 2	LISTA 1			coliphage	lista 3	No esta en lista
Bacteroides fragilis	LISTA 1			bacillus magaterium	Lista 2	No esta en lista			colobine gammaherpesvirus 1	lista 3	No esta en lista
Bacteroides galacturonicus	LISTA 1			bacillus megaterium	Lista 2	No esta en lista			connecticut	lista 3	No esta en lista
Bacteroides gallinarum	LISTA 1			bacillus pumilus	Lista 2	LISTA 1			cope	lista 3	No esta en lista
Bacteroides graminisolvens	LISTA 1			bacillus safensis	Lista 2	LISTA 1			cordoba	lista 3	No esta en lista
Bacteroides helcogenes	LISTA 1			bacillus stearothermophilus	Lista 2	No esta en lista			coronaviridae	lista 3	No esta en lista
Bacteroides heparinolyticus	LISTA 1			bacillus subtilis	Lista 2	LISTA 1			coronavirus	lista 3	No esta en lista
Bacteroides intestinalis	LISTA 1			bacillus tequilensis	Lista 2	LISTA 1			cottontail rabbit papillomavirus	lista 3	No esta en lista
Bacteroides nordii	LISTA 1			bacillus thuringiensis	Lista 2	LISTA 1			cowpea chlorotic mottle	lista 3	No esta en lista
Bacteroides oleiciplenus	LISTA 1			bacillus toyonensis	Lista 2	LISTA 1			cowpea mosaic	lista 3	No esta en lista
Bacteroides ovatus	LISTA 1			bacillus vallismortis	Lista 2	LISTA 1			cowpox	lista 3	No esta en lista
Bacteroides propionicifaciens	LISTA 1			bacteriodetes	Lista 2	No esta en lista			coxsackievirus	lista 3	No esta en lista
Bacteroides pyogenes	LISTA 1			bacterium host	Lista 2	No esta en lista			coxsackievirus a21	lista 3	No esta en lista
Bacteroides reticulotermitis	LISTA 1			bacteroidaceae	Lista 2	No esta en lista			coxsackievirus b1	lista 3	No esta en lista
Bacteroides rodentium	LISTA 1			bacteroidales	Lista 2	No esta en lista			coxsackievirus b2	lista 3	No esta en lista
Bacteroides salyersiae	LISTA 1			bacteroides	Lista 2	No esta en lista			coxsackievirus b3	lista 3	No esta en lista
Bacteroides sp	LISTA 1			bacteroides acidifaciens	Lista 2	LISTA 1			crassphage	lista 3	No esta en lista
Bacteroides stercorirosoris	LISTA 1			bacteroides caccae	Lista 2	LISTA 1			crimean-congo hemorrhagic fever	lista 3	No esta en lista
Bacteroides stercoris	LISTA 1			bacteroides dorei	Lista 2	No esta en lista			cryptosporidium parvum	lista 3	No esta en lista
Bacteroides thetaiotaomicron	LISTA 1			bacteroides eggerthii	Lista 2	LISTA 1			currant	lista 3	No esta en lista
Bacteroides timonensis	LISTA 1			bacteroides fragilis	Lista 2	LISTA 1			curvularia	lista 3	No esta en lista
Bacteroides uniformis	LISTA 1			bacteroides intestinalis	Lista 2	LISTA 1			cushing	lista 3	No esta en lista
Bacteroides xylanisolvens	LISTA 1			bacteroides ovatus	Lista 2	LISTA 1			cutavirus	lista 3	No esta en lista
Bakau orthobunyavirus	LISTA 1			bacteroides plebeius	Lista 2	No esta en lista			cytomegalovirus	lista 3	No esta en lista
Bat gammaretrovirus	LISTA 1			bacteroides pyogenes	Lista 2	LISTA 1			damselfish virus-like agent	lista 3	No esta en lista
Batai orthobunyavirus	LISTA 1			bacteroides stercoris	Lista 2	LISTA 1			davis	lista 3	No esta en lista
Batama orthobunyavirus	LISTA 1			bacteroides thetaiotaomicron	Lista 2	LISTA 1			debaryomyces hansenii	lista 3	No esta en lista
Bean golden mosaic virus	LISTA 1			bacteroides uniformis	Lista 2	LISTA 1			deer tick	lista 3	No esta en lista
Bean golden yellow mosaic virus	LISTA 1			bacteroides vulgatus	Lista 2	No esta en lista			defective interfering	lista 3	No esta en lista
Beggiatoa alba	LISTA 1			bacteroides xylanisolvens	Lista 2	LISTA 1			deltapapillomavirus	lista 3	No esta en lista
Begomovirus sp. CR-2004	LISTA 1			bacteroidetes	Lista 2	No esta en lista			dengue	lista 3	No esta en lista
Bellavista orthobunyavirus	LISTA 1			bacteroidia	Lista 2	No esta en lista			domestic cat hepadnavirus	lista 3	No esta en lista
Beluga whale coronavirus SW1	LISTA 1			balneola	Lista 2	No esta en lista			douglas	lista 3	No esta en lista
Benevides orthobunyavirus	LISTA 1			barnesiella	Lista 2	No esta en lista			drake	lista 3	No esta en lista
Bergeyella zoohelcum	LISTA 1			barnesiella intestinihominis	Lista 2	No esta en lista			drosophila	lista 3	No esta en lista
Bertioga orthobunyavirus	LISTA 1			bartonella	Lista 2	No esta en lista			drosophila a	lista 3	No esta en lista
Beutenbergia cavernae	LISTA 1			bartonella bacilliformis	Lista 2	No esta en lista			drosophila c	lista 3	No esta en lista
Bhargavaea cecembensis	LISTA 1			bartonella elizabethae	Lista 2	No esta en lista			dsrna	lista 3	No esta en lista
Bhendi yellow vein Delhi virus	LISTA 1			bartonella henselae	Lista 2	No esta en lista			duck hepatitis	lista 3	No esta en lista
Bhendi yellow vein Haryana virus	LISTA 1			bartonella quintana	Lista 2	No esta en lista			duck hepatitis b	lista 3	No esta en lista
Bhendi yellow vein India virus	LISTA 1			bartonella vinsonii	Lista 2	No esta en lista			duck papillomavirus	lista 3	No esta en lista
Bhendi yellow vein mosaic Maharashtra virus	LISTA 1			bergeyella	Lista 2	No esta en lista			durham	lista 3	No esta en lista
Bhendi yellow vein mosaic virus	LISTA 1			betaproteobacteria	Lista 2	No esta en lista			duvenhage	lista 3	No esta en lista
Bimiti orthobunyavirus	LISTA 1			bidens	Lista 2	No esta en lista	planta		e2	lista 3	No esta en lista
Birao orthobunyavirus	LISTA 1			bifidobacterium	Lista 2	No esta en lista			eastern equine encephalitis	lista 3	No esta en lista
Bitter gourd yellow vein virus	LISTA 1			bifidobacterium adolescentis	Lista 2	No esta en lista			eastern equine encephalomyelitis	lista 3	No esta en lista
Blochmannia endosymbiont of Camponotus atriceps	LISTA 1			bifidobacterium angulatum	Lista 2	No esta en lista			ebola	lista 3	No esta en lista
Blochmannia endosymbiont of Camponotus crassus	LISTA 1			bifidobacterium animalis	Lista 2	No esta en lista			echovirus	lista 3	No esta en lista
Blochmannia endosymbiont of Camponotus renggeri	LISTA 1			bifidobacterium bifidum	Lista 2	No esta en lista			echovirus 1	lista 3	No esta en lista
Blochmannia endosymbiont of Camponotus sp.	LISTA 1			bifidobacterium breve	Lista 2	No esta en lista			echovirus 11	lista 3	No esta en lista
Blochmannia endosymbiont of Opisthopsis haddoni	LISTA 1			bifidobacterium dentium	Lista 2	No esta en lista			echovirus 12	lista 3	No esta en lista
Blochmannia endosymbiont of Polyrhachis (Hagiomyrma) sp.	LISTA 1			bifidobacterium longum	Lista 2	No esta en lista			echovirus 30	lista 3	No esta en lista
Bordetella avium	LISTA 1			bifidobacterium pseudolongum	Lista 2	No esta en lista			echovirus 5	lista 3	No esta en lista
Bordetella bronchiseptica	LISTA 1			bilophila	Lista 2	No esta en lista			ecotropic murine leukemia	lista 3	No esta en lista
Bordetella hinzii	LISTA 1			bilophila wadsworthia	Lista 2	No esta en lista			ectromelia	lista 3	No esta en lista
Bordetella holmesii	LISTA 1			bitter	Lista 2	No esta en lista	planta		edwardsiella	lista 3	No esta en lista
Bordetella parapertussis	LISTA 1			bitter gourd	Lista 2	No esta en lista	planta		encephalomyocarditis	lista 3	No esta en lista
Bordetella pertussis	LISTA 1			blastomonas	Lista 2	No esta en lista			endogenous mouse mammary tumor	lista 3	No esta en lista
Bordetella petrii	LISTA 1			blautia	Lista 2	No esta en lista			endogenous retrovirus	lista 3	No esta en lista
