Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Cytophaga hutchinsonii	LISTA 1			dermabacter	Lista 2	No esta en lista			maedi-visna	lista 3	No esta en lista
Dactylosporangium aurantiacum	LISTA 1			dermabacter hominis	Lista 2	No esta en lista			mammalian orthoreovirus	lista 3	No esta en lista
Deefgea rivuli	LISTA 1			desulfomicrobium	Lista 2	No esta en lista			mannheimia	lista 3	No esta en lista
Dehalogenimonas lykanthroporepellens	LISTA 1			desulfovibrio	Lista 2	No esta en lista			maraba	lista 3	No esta en lista
Desulfatiglans anilini	LISTA 1			desulfovibrio desulfuricans	Lista 2	No esta en lista			marburg	lista 3	No esta en lista
Desulforegula conservatrix	LISTA 1			desulfovibrio piger	Lista 2	No esta en lista			marek's disease	lista 3	No esta en lista
Desulfotignum balticum	LISTA 1			desulfovibrio vulgaris	Lista 2	No esta en lista			massilia	lista 3	No esta en lista
Desulfotignum phosphitoxidans	LISTA 1			desulfovibrionaceae	Lista 2	No esta en lista			mastadenovirus	lista 3	No esta en lista
Dictyoglomus thermophilum	LISTA 1			desulfovibrionales	Lista 2	No esta en lista			mastic	lista 3	No esta en lista
Dictyoglomus turgidum	LISTA 1			desulfuromonas	Lista 2	No esta en lista			measles	lista 3	No esta en lista
Dolosigranulum pigrum	LISTA 1			devosia	Lista 2	No esta en lista			mengo	lista 3	No esta en lista
Duganella zoogloeoides	LISTA 1			dialister	Lista 2	No esta en lista			merkel cell polyomavirus	lista 3	No esta en lista
Dyadobacter alkalitolerans	LISTA 1			dialister invisus	Lista 2	No esta en lista			metapneumovirus	lista 3	No esta en lista
Dyadobacter beijingensis	LISTA 1			dialister micraerophilus	Lista 2	No esta en lista			mimiviridae	lista 3	No esta en lista
Dyadobacter crusticola	LISTA 1			dialister pneumosintes	Lista 2	No esta en lista			mink cell focus-forming	lista 3	No esta en lista
Dyadobacter fermentans	LISTA 1			dialister succinatiphilus	Lista 2	No esta en lista			mirabilis mosaic	lista 3	No esta en lista
Dyadobacter ginsengisoli	LISTA 1			dielma	Lista 2	No esta en lista			mlv-related	lista 3	No esta en lista
Dyadobacter tibetensis	LISTA 1			dietzia	Lista 2	No esta en lista			modified vaccinia ankara	lista 3	No esta en lista
Dysgonomonas capnocytophagoides	LISTA 1			dietzia cinnamea	Lista 2	No esta en lista			mokola	lista 3	No esta en lista
Dysgonomonas gadei	LISTA 1			dietzia papillomatosis	Lista 2	No esta en lista			molluscum contagiosum	lista 3	No esta en lista
Dysgonomonas hofstadii	LISTA 1			dioscorea	Lista 2	No esta en lista			moloney murine leukemia	lista 3	No esta en lista
Dysgonomonas mossii	LISTA 1			dolosigranulum	Lista 2	No esta en lista			moloney murine sarcoma	lista 3	No esta en lista
East African cassava mosaic Cameroon virus	LISTA 1			domibacillus	Lista 2	No esta en lista			mononegavirales	lista 3	No esta en lista
East African cassava mosaic Malawi virus	LISTA 1			dorea	Lista 2	No esta en lista			montpellier	lista 3	No esta en lista
East African cassava mosaic Zanzibar virus	LISTA 1			dysgonomonas	Lista 2	No esta en lista			morbillivirus	lista 3	No esta en lista
East African cassava mosaic virus	LISTA 1			dysgonomonas mossii	Lista 2	LISTA 1			mott	lista 3	No esta en lista
Eclipta yellow vein virus	LISTA 1			echinacea	Lista 2	No esta en lista			mouse adenovirus	lista 3	No esta en lista
Eggerthella lenta	LISTA 1			echinacea purpurea	Lista 2	No esta en lista			mouse hepatitis	lista 3	No esta en lista
Eggerthella sinensis	LISTA 1			edwardsiella	Lista 2	No esta en lista			mouse leukemia	lista 3	No esta en lista
Eggerthia catenaformis	LISTA 1			edwardsiella hoshinae	Lista 2	No esta en lista			mouse mammary tumor	lista 3	No esta en lista
Elizabethkingia anophelis	LISTA 1			edwardsiella tarda	Lista 2	No esta en lista			mouse polyomavirus	lista 3	No esta en lista
Elizabethkingia meningoseptica	LISTA 1			eggerthella	Lista 2	No esta en lista			mucorales	lista 3	No esta en lista
Emilia yellow vein virus	LISTA 1			eggerthella lenta	Lista 2	LISTA 1			mulv	lista 3	No esta en lista
Enseada orthobunyavirus	LISTA 1			eggerthellaceae	Lista 2	No esta en lista			mume	lista 3	No esta en lista
Escherichia albertii	LISTA 1			eggerthia	Lista 2	No esta en lista			mumps	lista 3	No esta en lista
Escherichia coli	LISTA 1			eggerthia catenaformis	Lista 2	LISTA 1			murid herpesvirus 4	lista 3	No esta en lista
Escherichia fergusonii	LISTA 1			ehrlichia	Lista 2	No esta en lista			murine astrovirus	lista 3	No esta en lista
Ethanoligenens harbinense	LISTA 1			ehrlichia chaffeensis	Lista 2	No esta en lista			murine astrovirus 2	lista 3	No esta en lista
Eupatorium yellow vein mosaic virus	LISTA 1			eikenella	Lista 2	No esta en lista			murine coronavirus	lista 3	No esta en lista
Eupatorium yellow vein virus	LISTA 1			eikenella corrodens	Lista 2	No esta en lista			murine cytomegalovirus	lista 3	No esta en lista
Euphorbia leaf curl virus	LISTA 1			eisenbergiella	Lista 2	No esta en lista			murine hepatitis	lista 3	No esta en lista
Euphorbia mosaic virus	LISTA 1			elaeagnus	Lista 2	No esta en lista			murine herpesvirus	lista 3	No esta en lista
Euphorbia yellow mosaic virus	LISTA 1			elaeagnus angustifolia	Lista 2	No esta en lista			murine leukemia	lista 3	No esta en lista
Ewingella americana	LISTA 1			elizabethkingia	Lista 2	No esta en lista			murine norovirus	lista 3	No esta en lista
Exiguobacterium acetylicum	LISTA 1			elizabethkingia meningoseptica	Lista 2	LISTA 1			murine osteosarcoma	lista 3	No esta en lista
Exiguobacterium alkaliphilum	LISTA 1			elusimicrobia	Lista 2	No esta en lista			murine pneumonia	lista 3	No esta en lista
Exiguobacterium antarcticum	LISTA 1			endophytic	Lista 2	No esta en lista			murine polyomavirus	lista 3	No esta en lista
Exiguobacterium aurantiacum	LISTA 1			endosymbiont	Lista 2	No esta en lista			murine sarcoma	lista 3	No esta en lista
Exiguobacterium chiriqhucha	LISTA 1			enhydrobacter	Lista 2	No esta en lista			murine xenotropic	lista 3	No esta en lista
Exiguobacterium indicum	LISTA 1			enterobacter	Lista 2	No esta en lista			mus musculus papillomavirus	lista 3	No esta en lista
Exiguobacterium marinum	LISTA 1			enterobacter aerogenes	Lista 2	No esta en lista			mus musculus papillomavirus 1	lista 3	No esta en lista
Exiguobacterium oxidotolerans	LISTA 1			enterobacter cloacae	Lista 2	No esta en lista			mutant hepatitis b	lista 3	No esta en lista
Exiguobacterium sibiricum	LISTA 1			enterobacter hormaechei	Lista 2	No esta en lista			mutant japanese encephalitis	lista 3	No esta en lista
Exiguobacterium undae	LISTA 1			enterobacter kobei	Lista 2	No esta en lista			mvm	lista 3	No esta en lista
Faceys paddock orthobunyavirus	LISTA 1			enterobacter ludwigii	Lista 2	No esta en lista			mx polyomavirus	lista 3	No esta en lista
Faecalibacterium prausnitzii	LISTA 1			enterobacterales	Lista 2	No esta en lista			mycobacterium	lista 3	No esta en lista
Fangia hongkongensis	LISTA 1			enterobacteriaceae	Lista 2	No esta en lista			mycobacterium marinum	lista 3	LISTA 1
Feline endogenous virus	LISTA 1			enterocloster	Lista 2	No esta en lista			mycoplasma	lista 3	No esta en lista
Feline leukemia virus	LISTA 1			enterocloster bolteae	Lista 2	No esta en lista			mycoplasma arthritidis	lista 3	No esta en lista
Ferroglobus placidus	LISTA 1			enterococcaceae	Lista 2	No esta en lista			mycoplasma pneumoniae	lista 3	No esta en lista
Finegoldia magna	LISTA 1			enterococcus	Lista 2	No esta en lista			myeloblastosis-associated	lista 3	No esta en lista
Fischerella ambigua	LISTA 1			enterococcus avium	Lista 2	No esta en lista			myeloproliferative leukemia	lista 3	No esta en lista
Fischerella indica	LISTA 1			enterococcus casseliflavus	Lista 2	No esta en lista			myeloproliferative sarcoma	lista 3	No esta en lista
Fischerella major	LISTA 1			enterococcus durans	Lista 2	No esta en lista			myoviridae	lista 3	No esta en lista
Fischerella muscicola	LISTA 1			enterococcus faecalis	Lista 2	No esta en lista			mytilus	lista 3	No esta en lista
Fischerella thermalis	LISTA 1			enterococcus faecium	Lista 2	No esta en lista			myxoma	lista 3	No esta en lista
Flammeovirga aprica	LISTA 1			enterococcus gallinarum	Lista 2	No esta en lista			natrinema	lista 3	No esta en lista
Flavihumibacter petaseus	LISTA 1			enterococcus hirae	Lista 2	No esta en lista			nef	lista 3	No esta en lista
Flavisolibacter ginsengisoli	LISTA 1			enterococcus raffinosus	Lista 2	No esta en lista			negishi	lista 3	No esta en lista
Flavisolibacter ginsengiterrae	LISTA 1			enterorhabdus	Lista 2	No esta en lista			nodamura	lista 3	No esta en lista
Flectobacillus major	LISTA 1			enterovibrio	Lista 2	No esta en lista			nora	lista 3	No esta en lista
Flexibacter flexilis	LISTA 1			entomoplasmatales	Lista 2	No esta en lista			norovirus	lista 3	No esta en lista
Flexithrix dorotheae	LISTA 1			epsilonproteobacteria	Lista 2	No esta en lista			nova	lista 3	No esta en lista
Fort Sherman orthobunyavirus	LISTA 1			erwinia	Lista 2	No esta en lista			ns-5	lista 3	No esta en lista
French bean leaf curl virus	LISTA 1			erwinia amylovora	Lista 2	No esta en lista			ns3	lista 3	No esta en lista
Fulvivirga imtechensis	LISTA 1			erwinia chrysanthemi	Lista 2	No esta en lista			nse	lista 3	No esta en lista
Fusobacterium gonidiaformans	LISTA 1			erysipelatoclostridium	Lista 2	No esta en lista			nuclear polyhedrosis	lista 3	No esta en lista
Fusobacterium hwasookii	LISTA 1			erysipelatoclostridium ramosum	Lista 2	No esta en lista			nucleocapsid	lista 3	No esta en lista
Fusobacterium mortiferum	LISTA 1			erysipelothrix	Lista 2	No esta en lista			nucleoprotein	lista 3	No esta en lista
Fusobacterium necrophorum	LISTA 1			erysipelothrix rhusiopathiae	Lista 2	No esta en lista			obodhiang	lista 3	No esta en lista
Fusobacterium nucleatum	LISTA 1			erysipelotrichaceae	Lista 2	No esta en lista			omphalodes	lista 3	No esta en lista
Fusobacterium perfoetens	LISTA 1			erysipelotrichia	Lista 2	No esta en lista			opuntia	lista 3	No esta en lista
Fusobacterium periodonticum	LISTA 1			escherichia	Lista 2	No esta en lista			orbivirus	lista 3	No esta en lista
Fusobacterium russii	LISTA 1			escherichia coli	Lista 2	LISTA 1			orthobunyavirus	lista 3	No esta en lista
Fusobacterium sp. oral taxon 370	LISTA 1			escherichia fergusonii	Lista 2	LISTA 1			orthopoxvirus	lista 3	No esta en lista
Fusobacterium ulcerans	LISTA 1			eubacteriaceae	Lista 2	No esta en lista			orthoreovirus	lista 3	No esta en lista
Fusobacterium varium	LISTA 1			eubacterium	Lista 2	No esta en lista			ovine enzootic nasal tumor	lista 3	No esta en lista
Gaetbulibacter saemankumensis	LISTA 1			eubacterium brachy	Lista 2	No esta en lista			ovine enzootic nasal tumour	lista 3	No esta en lista
Gallaecimonas xiamenensis	LISTA 1			eubacterium callanderi	Lista 2	No esta en lista			ovine lentivirus	lista 3	No esta en lista
Gallibacterium anatis	LISTA 1			eubacterium limosum	Lista 2	No esta en lista			ovine papillomavirus	lista 3	No esta en lista
Gallionella capsiferriformans	LISTA 1			eubacterium nodatum	Lista 2	No esta en lista			ovine pulmonary adenocarcinoma	lista 3	No esta en lista
Gallivirus A	LISTA 1			eubacterium rectale	Lista 2	No esta en lista			ovine pulmonary carcinoma	lista 3	No esta en lista
Gamboa orthobunyavirus	LISTA 1			eubacterium siraeum	Lista 2	No esta en lista			ovis aries papillomavirus	lista 3	No esta en lista
Gammapapillomavirus 1	LISTA 1			euphorbia	Lista 2	No esta en lista			palmer	lista 3	No esta en lista
Gammapapillomavirus 10	LISTA 1			exiguobacterium	Lista 2	No esta en lista			panax	lista 3	No esta en lista
Gammapapillomavirus 11	LISTA 1			exiguobacterium acetylicum	Lista 2	LISTA 1			panax notoginseng	lista 3	No esta en lista
Gammapapillomavirus 12	LISTA 1			facklamia	Lista 2	No esta en lista			papillomaviridae	lista 3	No esta en lista
Gammapapillomavirus 13	LISTA 1			facklamia tabacinasalis	Lista 2	No esta en lista			papovavirus bkv	lista 3	No esta en lista
Gammapapillomavirus 14	LISTA 1			faecalibacterium	Lista 2	No esta en lista			parainfluenza	lista 3	No esta en lista
Gammapapillomavirus 15	LISTA 1			faecalibacterium prausnitzii	Lista 2	LISTA 1			parainfluenza-3	lista 3	No esta en lista
Gammapapillomavirus 16	LISTA 1			faecalicatena	Lista 2	No esta en lista			paramyxoviridae	lista 3	No esta en lista
Gammapapillomavirus 17	LISTA 1			faecalitalea	Lista 2	No esta en lista			paramyxovirus	lista 3	No esta en lista
Gammapapillomavirus 18	LISTA 1			fibrobacteres	Lista 2	No esta en lista			parapoxvirus	lista 3	No esta en lista
Gammapapillomavirus 19	LISTA 1			filamentous	Lista 2	No esta en lista			parechovirus	lista 3	No esta en lista
Gammapapillomavirus 2	LISTA 1			filamentous cyanobacterium	Lista 2	No esta en lista			parvoviridae	lista 3	No esta en lista
Gammapapillomavirus 20	LISTA 1			filifactor	Lista 2	No esta en lista			pediococcus	lista 3	No esta en lista
Gammapapillomavirus 21	LISTA 1			filifactor alocis	Lista 2	No esta en lista			pediococcus pentosaceus	lista 3	No esta en lista
Gammapapillomavirus 22	LISTA 1			finegoldia	Lista 2	No esta en lista			pegivirus	lista 3	No esta en lista
Gammapapillomavirus 23	LISTA 1			finegoldia magna	Lista 2	LISTA 1			pegivirus c	lista 3	LISTA 1
Gammapapillomavirus 24	LISTA 1			firmicutes	Lista 2	No esta en lista			penicillium chrysogenum	lista 3	No esta en lista
Gammapapillomavirus 25	LISTA 1			flammeovirga	Lista 2	No esta en lista			persimmon	lista 3	No esta en lista
Gammapapillomavirus 26	LISTA 1			flavobacteriaceae	Lista 2	No esta en lista			peste des petits ruminants	lista 3	No esta en lista
Gammapapillomavirus 27	LISTA 1			flavobacteriales	Lista 2	No esta en lista			pestivirus	lista 3	No esta en lista
Gammapapillomavirus 3	LISTA 1			flavobacteriia	Lista 2	No esta en lista			phage	lista 3	No esta en lista
Gammapapillomavirus 4	LISTA 1			flavobacterium	Lista 2	No esta en lista			phycodnaviridae	lista 3	No esta en lista
Gammapapillomavirus 5	LISTA 1			flavonifractor	Lista 2	No esta en lista			phytomonas	lista 3	No esta en lista
Gammapapillomavirus 6	LISTA 1			flavonifractor plautii	Lista 2	No esta en lista			picornavirales	lista 3	No esta en lista
Gammapapillomavirus 7	LISTA 1			forsythia	Lista 2	No esta en lista			picornaviridae	lista 3	No esta en lista
Gammapapillomavirus 8	LISTA 1			francisella	Lista 2	No esta en lista			piper	lista 3	No esta en lista
Gammapapillomavirus 9	LISTA 1			francisella tularensis	Lista 2	No esta en lista			plantain	lista 3	No esta en lista
Gan Gan orthobunyavirus	LISTA 1			fusibacter	Lista 2	No esta en lista			pleurotus ostreatus	lista 3	No esta en lista
Gardnerella vaginalis	LISTA 1			fusicatenibacter	Lista 2	No esta en lista			pneumonia	lista 3	No esta en lista
Gayadomonas joobiniege	LISTA 1			fusicatenibacter saccharivorans	Lista 2	No esta en lista			podosphaera	lista 3	No esta en lista
Geitlerinema acuminatum	LISTA 1			fusobacteria	Lista 2	No esta en lista			podoviridae	lista 3	No esta en lista
Geitlerinema attenuatum	LISTA 1			fusobacterium	Lista 2	No esta en lista			poliovirus	lista 3	No esta en lista
Geitlerinema calcuttense	LISTA 1			fusobacterium hwasookii	Lista 2	LISTA 1			polyoma	lista 3	No esta en lista
Geitlerinema earlei	LISTA 1			fusobacterium mortiferum	Lista 2	LISTA 1			polyomaviridae	lista 3	No esta en lista
Geitlerinema sp. BBD	LISTA 1			fusobacterium naviforme	Lista 2	No esta en lista			polyomavirus	lista 3	No esta en lista
Geitlerinema splendidum	LISTA 1			fusobacterium necrophorum	Lista 2	LISTA 1			polyomavirus jc	lista 3	No esta en lista
Geitlerinema sulphureum	LISTA 1			fusobacterium nucleatum	Lista 2	LISTA 1			polyprotein	lista 3	No esta en lista
Geitlerinema tenuius	LISTA 1			fusobacterium varium	Lista 2	LISTA 1			polytropic murine leukemia	lista 3	No esta en lista
Geitlerinema unigranulatum	LISTA 1			gamma	Lista 2	No esta en lista			porcine adenovirus	lista 3	No esta en lista
Gelidibacter mesophilus	LISTA 1			gammaproteobacteria	Lista 2	No esta en lista			porcine adenovirus 4	lista 3	No esta en lista
Gemella bergeri	LISTA 1			gardnerella	Lista 2	No esta en lista			porcine epidemic diarrhea	lista 3	No esta en lista
Gemella cuniculi	LISTA 1			gardnerella vaginalis	Lista 2	LISTA 1			porcine parvovirus	lista 3	No esta en lista
Gemella haemolysans	LISTA 1			gelidibacter	Lista 2	No esta en lista			powassan	lista 3	No esta en lista
Gemella morbillorum	LISTA 1			gemella	Lista 2	No esta en lista			poxviridae	lista 3	No esta en lista
Gemella sanguinis	LISTA 1			gemella haemolysans	Lista 2	LISTA 1			pre-s1	lista 3	No esta en lista
Geminicoccus roseus	LISTA 1			gemella morbillorum	Lista 2	LISTA 1			precore	lista 3	No esta en lista
Geminocystis herdmanii	LISTA 1			gemella sanguinis	Lista 2	LISTA 1			prevotella	lista 3	No esta en lista
Geminocystis papuanica	LISTA 1			gemmatimonadales	Lista 2	No esta en lista			prevotella buccae	lista 3	LISTA 1
Gemmata obscuriglobus	LISTA 1			gemmatimonadetes	Lista 2	No esta en lista			prochlorococcus	lista 3	No esta en lista
Gemmatimonas aurantiaca	LISTA 1			gemmiger	Lista 2	No esta en lista			protoparvovirus	lista 3	No esta en lista
Gemmobacter nectariphilus	LISTA 1			gemmiger formicilis	Lista 2	No esta en lista			providence	lista 3	No esta en lista
Geobacillus jurassicus	LISTA 1			geobacillus	Lista 2	No esta en lista			prrs	lista 3	No esta en lista
Geobacillus kaustophilus	LISTA 1			geobacter	Lista 2	No esta en lista			prunus	lista 3	No esta en lista
Geobacillus stearothermophilus	LISTA 1			gluconacetobacter	Lista 2	No esta en lista			pseudomonas	lista 3	No esta en lista
Geobacillus subterraneus	LISTA 1			gluconobacter	Lista 2	No esta en lista			pseudomonas aeruginosa	lista 3	No esta en lista
Geobacillus thermocatenulatus	LISTA 1			gluconobacter kondonii	Lista 2	No esta en lista			pseudorabies	lista 3	No esta en lista
Geobacillus thermodenitrificans	LISTA 1			glutamicibacter	Lista 2	No esta en lista			punta toro	lista 3	No esta en lista
Geobacillus thermoleovorans	LISTA 1			glutamicibacter arilaitensis	Lista 2	LISTA 1			quebec polyomavirus	lista 3	No esta en lista
Geobacillus vulcani	LISTA 1			glycine	Lista 2	No esta en lista			rabbit fibroma	lista 3	No esta en lista
Geobacillus zalihae	LISTA 1			gordonia	Lista 2	No esta en lista			rabbit haemorrhagic disease	lista 3	No esta en lista
Geobacter bemidjiensis	LISTA 1			gordonia sputi	Lista 2	LISTA 1			rabbit hemorrhagic disease	lista 3	No esta en lista
Geobacter bremensis	LISTA 1			gordonibacter	Lista 2	No esta en lista			rabbit papilloma	lista 3	No esta en lista
Geobacter daltonii	LISTA 1			granulicatella	Lista 2	No esta en lista			rabies	lista 3	No esta en lista
Geobacter lovleyi	LISTA 1			granulicatella adiacens	Lista 2	LISTA 1			raccoon polyomavirus	lista 3	No esta en lista
Geobacter metallireducens	LISTA 1			granulicella	Lista 2	No esta en lista			raccoonpox	lista 3	No esta en lista
Geobacter s.p	LISTA 1			gut metagenome	Lista 2	No esta en lista	termino		ralstonia	lista 3	No esta en lista
Geobacter sulfurreducens	LISTA 1			gynostemma	Lista 2	No esta en lista			ranavirus	lista 3	No esta en lista
Geobacter toluenoxydans	LISTA 1			gynostemma pentaphyllum	Lista 2	No esta en lista			rat cellular	lista 3	No esta en lista
Geobacter uraniireducens	LISTA 1			haemophilus	Lista 2	No esta en lista			rat leukemia	lista 3	No esta en lista
Geodermatophilus obscurus	LISTA 1			haemophilus ducreyi	Lista 2	No esta en lista			rat sarcoma	lista 3	No esta en lista
Geofilum rubicundum	LISTA 1			haemophilus influenzae	Lista 2	No esta en lista			rauscher leukaemia	lista 3	No esta en lista
Geopsychrobacter electrodiphilus	LISTA 1			haemophilus parainfluenzae	Lista 2	No esta en lista			rauscher leukemia	lista 3	No esta en lista
Geothrix fermentans	LISTA 1			haemophilus parasuis	Lista 2	No esta en lista			rauscher murine leukemia	lista 3	No esta en lista
Gibbon ape leukemia virus	LISTA 1			hafnia	Lista 2	No esta en lista			rauscher spleen focus-forming	lista 3	No esta en lista
Gilliamella apicola	LISTA 1			hafnia alvei	Lista 2	No esta en lista			recombinant hepatitis c	lista 3	No esta en lista
Gilliamella apis	LISTA 1			hafnia paralvei	Lista 2	No esta en lista			reoviridae	lista 3	No esta en lista
Gillisia limnaea	LISTA 1			halomonadaceae	Lista 2	No esta en lista			reovirus	lista 3	No esta en lista
Gilvimarinus chinensis	LISTA 1			halomonas	Lista 2	No esta en lista			reovirus 3	lista 3	No esta en lista
Gimesia maris	LISTA 1			halomonas elongata	Lista 2	No esta en lista			reovirus serotype 3	lista 3	No esta en lista
Glaciecola nitratireducens	LISTA 1			halomonas meridiana	Lista 2	No esta en lista			respiratory syncytial	lista 3	No esta en lista
Glaciecola pallidula	LISTA 1			halomonas stenophila	Lista 2	No esta en lista			reticuloendotheliosis	lista 3	No esta en lista
Glaciecola punicea	LISTA 1			helcococcus	Lista 2	No esta en lista			retroviridae	lista 3	No esta en lista
Glaciibacter superstes	LISTA 1			helcococcus kunzii	Lista 2	No esta en lista			rhabdoviridae	lista 3	No esta en lista
Gloeobacter kilaueensis	LISTA 1			helianthus	Lista 2	No esta en lista			rhinovirus a	lista 3	No esta en lista
Gloeobacter violaceus	LISTA 1			helianthus annuus	Lista 2	No esta en lista			rhinovirus c	lista 3	No esta en lista
Gloeocapsa alpicola	LISTA 1			helicobacter	Lista 2	No esta en lista			rhizoctonia	lista 3	No esta en lista
Gloeocapsa gelatinosa	LISTA 1			helicobacter cinaedi	Lista 2	LISTA 1			rhizoctonia solani	lista 3	No esta en lista
Gloeocapsa polydermatica	LISTA 1			helicobacter pullorum	Lista 2	LISTA 1			rhizopus	lista 3	No esta en lista
Gloeocapsa quaternata	LISTA 1			helicobacter pylori	Lista 2	LISTA 1			rhodopseudomonas	lista 3	No esta en lista
Gloeocapsa thermalis	LISTA 1			herbaspirillum	Lista 2	No esta en lista			ribes	lista 3	No esta en lista
Glossina hytrosavirus	LISTA 1			herbaspirillum frisingense	Lista 2	No esta en lista			rickettsia	lista 3	No esta en lista
Gluconacetobacter diazotrophicus	LISTA 1			holdemanella	Lista 2	No esta en lista			rift valley fever	lista 3	No esta en lista
Gluconobacter frateurii	LISTA 1			hungatella	Lista 2	No esta en lista			riverside	lista 3	No esta en lista
Gluconobacter kanchanaburiensis	LISTA 1			hungatella effluvii	Lista 2	No esta en lista			rna-1	lista 3	No esta en lista
Gluconobacter morbifer	LISTA 1			hungatella hathewayi	Lista 2	LISTA 1			ross	lista 3	No esta en lista
Gluconobacter oxydans	LISTA 1			hydrogenophaga	Lista 2	No esta en lista			ross river	lista 3	No esta en lista
Gluconobacter roseus	LISTA 1			iamia	Lista 2	No esta en lista			rotavirus	lista 3	No esta en lista
Gluconobacter sphaericus	LISTA 1			ideonella	Lista 2	No esta en lista			rotavirus vaccine	lista 3	No esta en lista
Gluconobacter thailandicus	LISTA 1			idiomarina	Lista 2	No esta en lista			rous associated	lista 3	No esta en lista
Gluconobacter wancherniae	LISTA 1			idiomarina loihiensis	Lista 2	No esta en lista			rous sarcoma	lista 3	No esta en lista
Glutamicibacter arilaitensis	LISTA 1			ignatzschineria	Lista 2	No esta en lista			rous sarcoma provirus	lista 3	No esta en lista
Glutamicibacter bergerei	LISTA 1			ignatzschineria indica	Lista 2	No esta en lista			rous-associated	lista 3	No esta en lista
Glutamicibacter mysorens	LISTA 1			intestinibacter	Lista 2	No esta en lista			rousettus aegyptiacus papillomavirus	lista 3	No esta en lista
Glycomyces arizonensis	LISTA 1			intestinibacter bartlettii	Lista 2	No esta en lista			rubella	lista 3	No esta en lista
Glycomyces tenuis	LISTA 1			intestinimonas	Lista 2	No esta en lista			ruminant	lista 3	No esta en lista
Gordonia aichiensis	LISTA 1			intrasporangiaceae	Lista 2	No esta en lista			russian spring-summer encephalitis	lista 3	No esta en lista
Gordonia alkanivorans	LISTA 1			janibacter	Lista 2	No esta en lista			saccharomyces cerevisiae	lista 3	No esta en lista
Gordonia amarae	LISTA 1			janthinobacterium	Lista 2	No esta en lista			saccharomyces uvarum	lista 3	No esta en lista
Gordonia amicalis	LISTA 1			janthinobacterium lividum	Lista 2	No esta en lista			saimiriine gammaherpesvirus 2	lista 3	No esta en lista
Gordonia araii	LISTA 1			jeotgalibaca	Lista 2	No esta en lista			salinibacter	lista 3	No esta en lista
Gordonia bronchialis	LISTA 1			jujube	Lista 2	No esta en lista			salmonella	lista 3	No esta en lista
Gordonia desulfuricans	LISTA 1			keratinibaculum	Lista 2	No esta en lista			salmonella phage 118970_sal4	lista 3	No esta en lista
Gordonia effusa	LISTA 1			keratinibaculum paraultunense	Lista 2	No esta en lista			salmonella typhimurium	lista 3	No esta en lista
Gordonia hirsuta	LISTA 1			kineothrix	Lista 2	No esta en lista			salmonid herpesvirus 4	lista 3	No esta en lista
Gordonia hydrophobica	LISTA 1			kingella	Lista 2	No esta en lista			sarawak	lista 3	No esta en lista
Gordonia malaquae	LISTA 1			kingella denitrificans	Lista 2	LISTA 1			sars coronavirus	lista 3	No esta en lista
Gordonia namibiensis	LISTA 1			kingella oralis	Lista 2	LISTA 1			satellite	lista 3	No esta en lista
Gordonia neofelifaecis	LISTA 1			kitasatospora	Lista 2	No esta en lista			sclerotinia sclerotiorum	lista 3	No esta en lista
Gordonia otitidis	LISTA 1			klebsiella	Lista 2	No esta en lista			scott	lista 3	No esta en lista
Gordonia paraffinivorans	LISTA 1			klebsiella grimontii	Lista 2	No esta en lista			sea otter parvovirus 1	lista 3	No esta en lista
Gordonia polyisoprenivorans	LISTA 1			klebsiella michiganensis	Lista 2	No esta en lista			sea otter polyomavirus 1	lista 3	No esta en lista
Gordonia rhizosphera	LISTA 1			klebsiella oxytoca	Lista 2	No esta en lista			semliki forest	lista 3	No esta en lista
Gordonia rubripertincta	LISTA 1			klebsiella pneumoniae	Lista 2	No esta en lista			sendai	lista 3	No esta en lista
Gordonia shandongensis	LISTA 1			klebsiella quasipneumoniae	Lista 2	No esta en lista			sesbania mosaic	lista 3	No esta en lista
Gordonia sihwensis	LISTA 1			kluyvera	Lista 2	No esta en lista			severe acute respiratory syndrome coronavirus	lista 3	No esta en lista
Gordonia soli	LISTA 1			kluyvera ascorbata	Lista 2	No esta en lista			severe acute respiratory syndrome-related coronavirus	lista 3	No esta en lista
Gordonia sputi	LISTA 1			kocuria	Lista 2	No esta en lista			sherlock	lista 3	No esta en lista
Gordonia terrae	LISTA 1			kocuria rosea	Lista 2	No esta en lista			shewanella	lista 3	No esta en lista
Gordonia westfalica	LISTA 1			kribbella	Lista 2	No esta en lista			shigella	lista 3	No esta en lista
Gordonibacter pamelaeae	LISTA 1			kroppenstedtia	Lista 2	No esta en lista			shigella sonnei	lista 3	LISTA 1
Gossypium punctatum mild leaf curl virus	LISTA 1			labrenzia	Lista 2	No esta en lista			shope fibroma	lista 3	No esta en lista
Gottschalkia acidurici	LISTA 1			lachnoanaerobaculum	Lista 2	No esta en lista			simian adenovirus	lista 3	No esta en lista
Gracilibacillus boraciitolerans	LISTA 1			lachnoclostridium	Lista 2	No esta en lista			simian adenovirus 30	lista 3	No esta en lista
Gracilibacillus halophilus	LISTA 1			lachnospira	Lista 2	No esta en lista			simian adenovirus 7	lista 3	No esta en lista
Gracilibacillus lacisalsi	LISTA 1			lachnospiraceae	Lista 2	No esta en lista			simian foamy	lista 3	No esta en lista
