internalId	Name	Mentions
virus-54458	rabbit hemorrhagic disease	1
virus-21587	rabbit papilloma	10
virus-8868	rabies	16
virus-34361	raccoon polyomavirus	2
virus-39995	raccoonpox	2
virus-14645	ralstonia	17
virus-50909	ranavirus	1
virus-49322	rat cellular	1
virus-34103	rat leukemia	5
virus-56327	rat sarcoma	12
virus-19633	rauscher leukaemia	3
virus-16486	rauscher leukemia	13
virus-23160	rauscher murine leukemia	6
virus-62652	rauscher spleen focus-forming	1
virus-42693	recombinant hepatitis c	1
virus-69039	reoviridae	8
virus-6140	reovirus	105
virus-1517	reovirus 3	2
virus-69256	reovirus serotype 3	1
virus-65808	respiratory syncytial	56
virus-10044	reticuloendotheliosis	46
virus-7251	retroviridae	6
virus-27323	rhabdoviridae	2
virus-54468	rhinovirus a	1
virus-27047	rhinovirus c	1
virus-18651	rhizoctonia	1
virus-43963	rhizoctonia solani	1
virus-28154	rhizopus	16
virus-14729	rhodopseudomonas	1
virus-44643	ribes	1
virus-49144	rickettsia	13
virus-51509	rift valley fever	4
virus-70880	riverside	1
virus-64121	rna-1	3
virus-30565	ross	4
virus-12571	ross river	1
virus-2810	rotavirus	21
virus-2752	rotavirus vaccine	1
virus-8800	rous associated	2
virus-29188	rous sarcoma	440
virus-1216	rous sarcoma provirus	1
virus-34829	rous-associated	15
virus-18541	rousettus aegyptiacus papillomavirus	1
virus-22295	rubella	7
virus-54896	ruminant	9
virus-27348	russian spring-summer encephalitis	1
virus-49844	saccharomyces cerevisiae	58
virus-13698	saccharomyces uvarum	1
virus-20062	saimiriine gammaherpesvirus 2	1
virus-2411	salinibacter	1
virus-20150	salmonella	505
virus-13061	salmonella phage 118970_sal4	1
virus-59894	salmonella typhimurium	194
virus-70526	salmonid herpesvirus 4	1
virus-12628	sarawak	2
virus-37840	sars coronavirus	3
virus-13394	satellite	13
virus-8607	sclerotinia sclerotiorum	3
virus-958	scott	3
virus-7892	sea otter parvovirus 1	1
virus-61834	sea otter polyomavirus 1	1
virus-7724	semliki forest	27
virus-13292	sendai	41
virus-70614	sesbania mosaic	1
virus-63906	severe acute respiratory syndrome coronavirus	25
virus-68351	severe acute respiratory syndrome-related coronavirus	2
virus-71992	sherlock	1
virus-36185	shewanella	15
virus-52815	shigella	55
virus-6949	shigella sonnei	4
virus-51411	shope fibroma	16
virus-32004	simian adenovirus	17
virus-60587	simian adenovirus 30	2
virus-59492	simian adenovirus 7	2
virus-28288	simian foamy	6
virus-8647	simian immunodeficiency	12
virus-36707	simian sarcoma	24
virus-21649	simian sarcoma-associated	2
virus-71741	simian t-cell lymphotropic	3
virus-10375	sindbis	27
virus-28704	siphoviridae	3
virus-22743	siphovirus contig89	1
virus-56457	small anellovirus	1
virus-69328	small round structured	1
virus-46246	smith	8
virus-6499	snow mountain	1
virus-16182	snyder-theilen feline sarcoma	6
virus-71895	soil-borne	1
virus-38248	southampton	1
virus-52252	soybean cyst nematode	2
virus-44101	spinach curly top arizona	1
virus-3781	spleen necrosis	2
virus-42365	squirrel monkey retrovirus	1
virus-11840	squirrelpox	1
virus-57898	ssdna	9
virus-52342	st. louis encephalitis	1
virus-49217	staphylococcus	1018
virus-10678	staphylococcus xylosus	1
virus-73374	stealth	6
virus-47153	stickleback	1
virus-359	stl polyomavirus	2
virus-50241	strawberry	3
virus-32860	streptococcus	858
