
[Brevibacterium] flavum
Corynebacterium mastitidis
Corynebacterium matruchotii
Corynebacterium minutissimum
Corynebacterium mucifaciens
Corynebacterium nuruki
Corynebacterium otitidis
Corynebacterium pilbarense
Corynebacterium pilosum
Corynebacterium propinquum
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudogenitalium
Corynebacterium pseudotuberculosis
Corynebacterium pyruviciproducens
Corynebacterium resistens
Corynebacterium sphenisci
Corynebacterium sputi
Corynebacterium stationis
Corynebacterium striatum
Corynebacterium suicordis
Corynebacterium terpenotabidum
Corynebacterium timonense
Corynebacterium tuberculostearicum
Corynebacterium tuscaniense
Corynebacterium ulcerans
Corynebacterium ulceribovis
Corynebacterium urealyticum
Corynebacterium variabile
Corynebacterium vitaeruminis
Corynebacterium xerosis
Cotton leaf crumple virus
Cotton leaf curl Alabad virus
Cotton leaf curl Bangalore virus
Cotton leaf curl Burewala virus
Cotton leaf curl Gezira virus
Cotton leaf curl Khokran virus
Cotton leaf curl Kokhran virus
Cotton leaf curl Multan virus
Cotton leaf curl Rajasthan virus
Cotton leaf curl virus
Crassocephalum yellow vein virus
Croton yellow vein mosaic virus
Croton yellow vein virus
Cryptosporangium arvum
Cryptosporangium japonicum
Cucumber green mottle mosaic virus
Cucurbit leaf crumple virus
Cytophaga allerginae
Cytophaga aurantiaca
Cytophaga hutchinsonii
Dactylosporangium aurantiacum
Deefgea rivuli
Dehalogenimonas lykanthroporepellens
Desulfatiglans anilini
Desulforegula conservatrix
Desulfotignum balticum
Desulfotignum phosphitoxidans
Dictyoglomus thermophilum
Dictyoglomus turgidum
Dolosigranulum pigrum
Duganella zoogloeoides
Dyadobacter alkalitolerans
Dyadobacter beijingensis
Dyadobacter crusticola
Dyadobacter fermentans
Dyadobacter ginsengisoli
Dyadobacter tibetensis
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas hofstadii
Dysgonomonas mossii
East African cassava mosaic Cameroon virus
East African cassava mosaic Malawi virus
East African cassava mosaic virus
East African cassava mosaic Zanzibar virus
Eclipta yellow vein virus
Eggerthella lenta
Eggerthella sinensis
Eggerthia catenaformis
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Emilia yellow vein virus
Enseada orthobunyavirus
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Ethanoligenens harbinense
Eupatorium yellow vein mosaic virus
Eupatorium yellow vein virus
Euphorbia leaf curl virus
Euphorbia mosaic virus
Euphorbia yellow mosaic virus
Ewingella americana
Exiguobacterium acetylicum
Exiguobacterium alkaliphilum
Exiguobacterium antarcticum
Exiguobacterium aurantiacum
Exiguobacterium chiriqhucha
Exiguobacterium indicum
Exiguobacterium marinum
Exiguobacterium oxidotolerans
Exiguobacterium sibiricum
Exiguobacterium undae
Faceys paddock orthobunyavirus
Faecalibacterium prausnitzii
Fangia hongkongensis
Feline endogenous virus
Feline leukemia virus
Ferroglobus placidus
Finegoldia magna
Fischerella ambigua
Fischerella indica
Fischerella major
Fischerella muscicola
Fischerella thermalis
Flammeovirga aprica
Flavihumibacter petaseus
Flavisolibacter ginsengisoli
Flavisolibacter ginsengiterrae
Flectobacillus major
Flexibacter flexilis
Flexithrix dorotheae
Fort Sherman orthobunyavirus
French bean leaf curl virus
Fulvivirga imtechensis
Fusobacterium gonidiaformans
Fusobacterium hwasookii
Fusobacterium mortiferum
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium perfoetens
Fusobacterium periodonticum
Fusobacterium russii
Fusobacterium sp. oral taxon 370
Fusobacterium ulcerans
Fusobacterium varium
Gaetbulibacter saemankumensis
Gallaecimonas xiamenensis
Gallibacterium anatis
Gallionella capsiferriformans
Gallivirus A
Gamboa orthobunyavirus
Gammapapillomavirus 1
Gammapapillomavirus 10
Gammapapillomavirus 11
Gammapapillomavirus 12
Gammapapillomavirus 13
Gammapapillomavirus 14
Gammapapillomavirus 15
Gammapapillomavirus 16
Gammapapillomavirus 17
Gammapapillomavirus 18
Gammapapillomavirus 19
Gammapapillomavirus 2
Gammapapillomavirus 20
Gammapapillomavirus 21
Gammapapillomavirus 22
Gammapapillomavirus 23
Gammapapillomavirus 24
Gammapapillomavirus 25
Gammapapillomavirus 26
Gammapapillomavirus 27
Gammapapillomavirus 3
Gammapapillomavirus 4
Gammapapillomavirus 5
Gammapapillomavirus 6
Gammapapillomavirus 7
Gammapapillomavirus 8
Gammapapillomavirus 9
Gan Gan orthobunyavirus
Gardnerella vaginalis
Gayadomonas joobiniege
Geitlerinema acuminatum
Geitlerinema attenuatum
Geitlerinema calcuttense
Geitlerinema earlei
Geitlerinema sp. BBD
Geitlerinema splendidum
Geitlerinema sulphureum
Geitlerinema tenuius
Geitlerinema unigranulatum
Gelidibacter mesophilus
Gemella bergeri
Gemella cuniculi
Gemella haemolysans
Gemella morbillorum
Gemella sanguinis
Geminicoccus roseus
Geminocystis herdmanii
Geminocystis papuanica
Gemmata obscuriglobus
Gemmatimonas aurantiaca
Gemmobacter nectariphilus
Geobacillus jurassicus
Geobacillus kaustophilus
Geobacillus stearothermophilus
Geobacillus subterraneus
Geobacillus thermocatenulatus
Geobacillus thermodenitrificans
Geobacillus thermoleovorans
Geobacillus vulcani
Geobacillus zalihae
Geobacter bemidjiensis
Geobacter bremensis
Geobacter daltonii
Geobacter lovleyi
Geobacter metallireducens
Geobacter s.p
Geobacter sulfurreducens
Geobacter toluenoxydans
Geobacter uraniireducens
Geodermatophilus obscurus
Geofilum rubicundum
Geopsychrobacter electrodiphilus
Geothrix fermentans
Gibbon ape leukemia virus
Gilliamella apicola
Gilliamella apis
Gillisia limnaea
Gilvimarinus chinensis
Gimesia maris
Glaciecola nitratireducens
Glaciecola pallidula
Glaciecola punicea
Glaciibacter superstes
Gloeobacter kilaueensis
Gloeobacter violaceus
Gloeocapsa alpicola
Gloeocapsa gelatinosa
Gloeocapsa polydermatica
Gloeocapsa quaternata
Gloeocapsa thermalis
Glossina hytrosavirus
Gluconacetobacter diazotrophicus
Gluconobacter frateurii
Gluconobacter kanchanaburiensis
Gluconobacter morbifer
Gluconobacter oxydans
Gluconobacter roseus
Gluconobacter sphaericus
Gluconobacter thailandicus
Gluconobacter wancherniae
Glutamicibacter arilaitensis
Glutamicibacter bergerei
Glutamicibacter mysorens
Glycomyces arizonensis
Glycomyces tenuis
Gordonia aichiensis
Gordonia alkanivorans
Gordonia amarae
Gordonia amicalis
Gordonia araii
Gordonia bronchialis
Gordonia desulfuricans
Gordonia effusa
Gordonia hirsuta
Gordonia hydrophobica
Gordonia malaquae
Gordonia namibiensis
Gordonia neofelifaecis
Gordonia otitidis
Gordonia paraffinivorans
Gordonia polyisoprenivorans
Gordonia rhizosphera
Gordonia rubripertincta
Gordonia shandongensis
Gordonia sihwensis
Gordonia soli
Gordonia sputi
Gordonia terrae
Gordonia westfalica
Gordonibacter pamelaeae
Gossypium punctatum mild leaf curl virus
Gottschalkia acidurici
Gracilibacillus boraciitolerans
Gracilibacillus halophilus
Gracilibacillus lacisalsi
Gracilimonas tropica
Gramella echinicola
Gramella flava
Gramella forsetii
Gramella portivictoriae
Granulibacter bethesdensis
Granulicatella adiacens
Granulicatella elegans
Granulicatella para-adiacens
Granulicella mallensis
Granulicella tundricola
Granulicoccus phenolivorans
Grimontia hollisae
Gryllotalpicola ginsengisoli
Guama orthobunyavirus
Guar moasic virus
Guaroa orthobunyavirus
Gulosibacter bifidus
Gulosibacter faecalis
Gulosibacter molinativorax
Gynuella sunshinyii
Gyrovirus fulgla1
Gyrovirus galga1
Gyrovirus galga2
Gyrovirus homsa1
Gyrovirus homsa2
Gyrovirus homsa3
Gyrovirus homsa4
Gyrovirus hydho1
Gyrovirus myferr1
Haliangium ochraceum
Halogeometricum borinquense
Halogeometricum pallidum
Haloglycomyces albus
Halogranum salarium
Halopiger xanaduensis
Halostagnicola larsenii
Haloterrigena jeotgali
Haloterrigena limicola
Haloterrigena salina
Haloterrigena thermotolerans
Haloterrigena turkmenica
Hapalosiphon arboreus
Hapalosiphon baronii
Hapalosiphon delicatulus
Hapalosiphon hibernicus
Hapalosiphon intricatus
Hapalosiphon stuhlmannii
Hapalosiphon welwitschii
Hardy-Zuckerman feline sarcoma virus
Helicobacter acinonychis
Helicobacter bilis
Helicobacter bizzozeronii
Helicobacter canadensis
Helicobacter canis
Helicobacter cetorum
Helicobacter cinaedi
Helicobacter felis
Helicobacter fennelliae
Helicobacter heilmannii
Helicobacter hepaticus
Helicobacter macacae
Helicobacter mustelae
Helicobacter pametensis
Helicobacter pullorum
Helicobacter pylori
Helicobacter rodentium
Helicobacter suis
Helicobacter winghamensis
Hollyhock leaf crumple virus
Hollyhock yellow vein mosaic virus
Holophaga foetida
Honeysuckle yellow vein mosaic virus
Honeysuckle yellow vein virus
Human betaherpesvirus 5
Human gammaherpesvirus 4
Hungatella hathewayi
Hydrocarboniphaga effusa
Hydrogenobacter thermophilus
Hydrogenophaga flava
Hydrogenophaga intermedia
Hydrogenophaga palleronii
Hydrogenophaga pseudoflava
Hydrogenophaga taeniospiralis
Hydrogenovibrio crunogenus
Hydrogenovibrio halophilus
Hydrogenovibrio kuenenii
Hydrogenovibrio marinus
Iaco orthobunyavirus
Ignatzschineria larvae
Ignavibacterium album
Ignicoccus hospitalis
Ignicoccus islandicus
Ignicoccus pacificus
Ilesha orthobunyavirus
Indian cassava mosaic virus
Infectious spleen and kidney necrosis virus
Ingwavuma orthobunyavirus
Intrasporangium calvum
Intrasporangium chromatireducens
Intrasporangium oryzae
Jamestown Canyon orthobunyavirus
Janibacter anophelis
Janibacter corallicola
